id,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeRef,AwayRef,CrewChief,BookieHomeOdds,BookieAwayOdds,OpeningSpread,ClosingSpread,OverUnder,HomeFGA,HomeFTA,HomeOREB,HomeTOV,HomeMIN,HomeFGM,HomeFG3M,HomeFTM,HomeDREB,HomePF,AwayFGA,AwayFTA,AwayOREB,AwayTOV,AwayMIN,AwayFGM,AwayFG3M,AwayFTM,AwayDREB,AwayPF,HomePossessions,HomePace,AwayPossessions,AwayPace,HomePtsScored,HomePtsConceded,AwayPtsScored,AwayPtsConceded,IsFanduelOdds,OverOdds,UnderOdds,Season,Home_Elo_Before,Away_Elo_Before,Home_Days_Rest,Home_Back_To_Back,Home_Three_In_Four,Home_Game_Number_In_Season,Home_Travel_Miles_7d,Home_Timezone_Changes_7d,Home_Fatigue_Score,Home_Offensive_Rating_EMA_5,Home_Defensive_Rating_EMA_5,Home_eFG%_EMA_5,Home_TOV%_EMA_5,Home_ORB%_EMA_5,Home_FT_Rate_EMA_5,Home_Pace_EMA_5,Home_Offensive_Rating_EMA_10,Home_Defensive_Rating_EMA_10,Home_eFG%_EMA_10,Home_TOV%_EMA_10,Home_ORB%_EMA_10,Home_FT_Rate_EMA_10,Home_Pace_EMA_10,Away_Days_Rest,Away_Back_To_Back,Away_Three_In_Four,Away_Game_Number_In_Season,Away_Travel_Miles_7d,Away_Timezone_Changes_7d,Away_Fatigue_Score,Away_Offensive_Rating_EMA_5,Away_Defensive_Rating_EMA_5,Away_eFG%_EMA_5,Away_TOV%_EMA_5,Away_ORB%_EMA_5,Away_FT_Rate_EMA_5,Away_Pace_EMA_5,Away_Offensive_Rating_EMA_10,Away_Defensive_Rating_EMA_10,Away_eFG%_EMA_10,Away_TOV%_EMA_10,Away_ORB%_EMA_10,Away_FT_Rate_EMA_10,Away_Pace_EMA_10,Home_Net_Rating_EMA_5,Away_Net_Rating_EMA_5,Home_Net_Rating_EMA_10,Away_Net_Rating_EMA_10,Home_Missing_Usage_Pct,Away_Missing_Usage_Pct,Home_Missing_Net_Rating,Away_Missing_Net_Rating,Home_Missing_PIE,Away_Missing_PIE,Home_Missing_Minutes_Pct,Away_Missing_Minutes_Pct,Home_Injured_Players_Count,Away_Injured_Players_Count,Home_Talent_Floor,Away_Talent_Floor,Ref_Pts_EMA,Ref_Fouls_EMA,Ref_HomeWin_EMA,Prob_Home,Poly_Prob_Home,Market_Disagreement,Net_Rating_Diff_5,eFG%_Diff_5,TOV%_Diff_5,ORB%_Diff_5,FT_Rate_Diff_5,Net_Rating_Diff_10,eFG%_Diff_10,TOV%_Diff_10,ORB%_Diff_10,FT_Rate_Diff_10,Rest_Diff,Missing_Usage_Diff,Talent_Floor_Diff,Travel_Miles_Diff,Fatigue_Score_Diff,H2H_Bias,Expected_Pace,Home_Expected_Pts,Away_Expected_Pts,Expected_Game_Total,Ref_Foul_Impact,Ref_FreeThrow_Rate,Combined_Fatigue_Score,Home_Win,Score_Diff
1,2018-05-18,Phoenix Mercury,Dallas Wings,86,78,Kurt Walker,Randy Richardson,Jeffrey Smith,2.41,1.57,4.5,3.5,166.5,64.0,27.0,3.0,10.0,200.0,26.0,10.0,24.0,29.0,20.0,80.0,18.0,11.0,12.0,200.0,29.0,4.0,16.0,28.0,24.0,85.9,85.9,85.9,85.9,86,78,78,86,0,,,2018,1500.0,1500.0,7.0,0.0,0.0,1,0.0,0.0,0.0,95.45983701979046,95.45983701979046,0.4359375,0.11826881160261232,0.18588709677419357,0.2875,85.90000000000002,95.45983701979046,95.45983701979046,0.4359375,0.11826881160261232,0.18588709677419357,0.2875,85.90000000000002,7.0,0.0,0.0,1,866.9752196366985,1.0,0.8669752196366985,95.04603045395687,95.87364358562402,0.4340477649509481,0.11826881160261232,0.18508129924142638,0.2875,85.90000000000002,95.04603045395687,95.87364358562402,0.4340477649509481,0.11826881160261232,0.18508129924142638,0.2875,85.90000000000002,0.0,-0.8276131316671496,0.0,-0.8276131316671496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3944723618090452,0.3944723618090452,0.0,0.8276131316671496,0.0018897350490518772,0.0,0.0008057975327671885,0.0,0.8276131316671496,0.0018897350490518772,0.0,0.0008057975327671885,0.0,0.0,0.0,0.0,-866.9752196366985,-0.8669752196366985,0.5,92.23512500000004,84.41434633605235,83.68565366394772,168.10000000000008,,,0.8669752196366985,1,8
2,2018-05-19,Indiana Fever,Chicago Sky,64,82,Byron Jarrett,Tiffany Bird,Angel Kent,2.09,1.75,0.0,1.5,158.0,76.0,8.0,9.0,7.0,200.0,28.0,3.0,5.0,23.0,15.0,63.0,20.0,9.0,12.0,200.0,31.0,5.0,15.0,35.0,11.0,76.16,76.16,76.16,76.16,64,82,82,64,0,,,2018,1500.0,1500.0,7.0,0.0,0.0,1,0.0,0.0,0.0,95.45983701979046,95.45983701979046,0.4359375,0.11826881160261232,0.18588709677419357,0.2875,85.90000000000002,95.45983701979046,95.45983701979046,0.4359375,0.11826881160261232,0.18588709677419357,0.2875,85.90000000000002,7.0,0.0,0.0,1,164.82428652787573,1.0,0.16482428652787573,95.38116652214619,95.53850751743474,0.4355782345629588,0.11826881160261232,0.18573390323369085,0.2875,85.90000000000002,95.38116652214619,95.53850751743474,0.4355782345629588,0.11826881160261232,0.18573390323369085,0.2875,85.90000000000002,0.0,-0.15734099528854983,0.0,-0.15734099528854983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4557291666666667,0.4557291666666667,0.0,0.15734099528854983,0.0003592654370411785,0.0,0.00015319354050272183,0.0,0.15734099528854983,0.0003592654370411785,0.0,0.00015319354050272183,0.0,0.0,0.0,0.0,-164.82428652787573,-0.16482428652787573,0.5,92.23512500000004,84.1192674064134,83.98073259358671,168.1000000000001,,,0.16482428652787573,0,-18
3,2018-05-20,Chicago Sky,New York Liberty,80,76,Billy Smith,Randy Richardson,Kevin Fahy,1.75,2.09,-3.5,-1.5,157.0,63.0,18.0,9.0,16.0,200.0,30.0,6.0,14.0,34.0,19.0,72.0,19.0,8.0,8.0,200.0,26.0,9.0,15.0,22.0,18.0,79.14,79.14,79.14,79.14,80,76,76,80,0,,,2018,1511.4292623481676,1500.0,1.0,1.0,0.0,2,329.64857305575146,2.0,0.7472364297918136,96.81630704280161,94.19025662263354,0.44658289241622573,0.12103873150144698,0.1964829749103943,0.28201058201058204,84.81777777777779,96.19972975961473,94.76733862134122,0.4417440776815777,0.11977967700197667,0.1916666666666667,0.284505772005772,85.30969696969697,7.0,0.0,0.0,1,714.6735372118347,1.0,0.7146735372118347,95.31352698173158,95.99715037419334,0.44634406039160457,0.11516046569116568,0.2136263091061995,0.21972117794486212,81.03,95.31352698173158,95.99715037419334,0.44634406039160457,0.11516046569116568,0.2136263091061995,0.21972117794486212,81.03,2.6260504201680703,-0.6836233924617545,1.432391138273502,-0.6836233924617545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5442708333333333,0.5442708333333333,0.0,3.309673812629825,0.0002388320246211606,0.005878265810281294,-0.017143334195805215,0.06228940406571992,2.1160145307352565,-0.004599982710026873,0.004619211310810986,-0.0219596424395328,0.06478459406090986,-6.0,0.0,0.0,-385.0249641560833,0.03256289257997891,0.5,86.40805931818183,79.79697804037212,78.0490239040723,157.84600194444442,,,1.4619099670036482,1,4
4,2018-05-20,Seattle Storm,Phoenix Mercury,82,87,Kevin Fahy,Kelly Dawson,Angel Kent,2.16,1.7,2.5,2.0,155.5,66.0,25.0,13.0,16.0,200.0,25.0,10.0,22.0,24.0,25.0,60.0,28.0,5.0,13.0,200.0,28.0,6.0,25.0,23.0,19.0,80.16,80.16,80.16,80.16,82,87,87,82,0,,,2018,1500.0,1508.5707376518324,7.0,0.0,0.0,1,0.0,0.0,0.0,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,2.0,0.0,0.0,2,1114.4916187181348,1.0,1.1144916187181348,95.44240539316465,95.47150229474786,0.4388602103343911,0.11806578212940379,0.17500499034983769,0.2972222222222222,85.9,95.2085352500792,95.70799350677348,0.43642750406867936,0.11815806825358949,0.1794805623350388,0.2928030303030303,85.9,0.0,-0.029096901583216095,0.0,-0.49945825669428245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,26.0,0.0,0.4404145077720207,0.4404145077720207,0.0,0.029096901583216095,0.009084521286327418,-0.0029053164382381036,0.03938742167362275,-0.0775010442773601,0.49945825669428245,0.011517227552039155,-0.002997602562423804,0.03491184968842162,-0.07308185235816816,5.0,0.0,0.0,-1114.4916187181348,-1.1144916187181348,0.5,87.00596250000001,79.65378929492711,79.23811092489082,158.89190021981793,-12.0,5.615382455622132,1.1144916187181348,0,-5
5,2018-05-20,Connecticut Sun,Las Vegas Aces,101,65,Kurt Walker,Kevin Fahy,Dallas Gomez,2.03,1.8,1.0,1.0,156.5,79.0,22.0,11.0,9.0,200.0,37.0,11.0,16.0,31.0,23.0,68.0,34.0,12.0,20.0,200.0,18.0,1.0,28.0,29.0,21.0,88.82000000000001,88.82000000000001,88.82000000000001,88.82000000000001,101,65,65,101,0,,,2018,1500.0,1500.0,7.0,0.0,0.0,1,0.0,0.0,0.0,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,7.0,0.0,0.0,1,2322.4562324710287,3.0,2.3224562324710285,94.54456199055366,96.76611536537126,0.442743071451943,0.11516046569116568,0.21190282705596852,0.21972117794486212,81.03,94.54456199055366,96.76611536537126,0.442743071451943,0.11516046569116568,0.21190282705596852,0.21972117794486212,81.03,0.0,-2.221553374817603,0.0,-2.221553374817603,19.6,0.0,-92.04,0.0,1.061,0.0,7.8,0.0,1.0,0.0,0.0,0.0,,,,0.4699738903394256,0.4699738903394256,0.0,2.221553374817603,0.00520166016877549,0.0,0.002489584967491909,0.0,2.221553374817603,0.00520166016877549,0.0,0.002489584967491909,0.0,0.0,19.6,0.0,-2322.4562324710287,-2.3224562324710285,0.5,82.07326125,75.96861545570263,74.22453041716825,150.1931458728709,,,2.3224562324710285,1,36
6,2018-05-20,Minnesota Lynx,Los Angeles Sparks,76,77,Randy Richardson,Kevin Fahy,Angel Kent,1.61,2.32,-2.0,-3.0,166.5,55.0,22.0,6.0,24.0,200.0,27.0,3.0,19.0,35.0,15.0,72.0,20.0,5.0,7.0,200.0,29.0,3.0,16.0,20.0,20.0,82.74000000000001,82.74000000000001,82.74000000000001,82.74000000000001,76,77,77,76,0,,,2018,1500.0,1500.0,7.0,0.0,0.0,1,0.0,0.0,0.0,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,7.0,0.0,0.0,1,1521.4353354410316,2.0,1.5214353354410317,94.92767161652131,96.38300573940363,0.4445371369056565,0.11516046569116568,0.2127614910669458,0.21972117794486212,81.03,94.92767161652131,96.38300573940363,0.4445371369056565,0.11516046569116568,0.2127614910669458,0.21972117794486212,81.03,0.0,-1.45533412288232,0.0,-1.45533412288232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.1904761904762,27.714285714285715,0.0,0.5903307888040712,0.5903307888040712,0.0,1.45533412288232,0.0034075947150620234,0.0,0.0016309209565146254,0.0,1.45533412288232,0.0034075947150620234,0.0,0.0016309209565146254,0.0,0.0,0.0,0.0,-1521.4353354410316,-1.5214353354410317,0.5,82.07326125,75.66784583461553,74.52530003825535,150.1931458728709,-10.285714285714285,5.347077108442968,1.5214353354410317,0,-1
7,2018-05-20,Dallas Wings,Atlanta Dream,101,78,Dallas Gomez,Brandon Enterline,Roy Gulbeyan,1.61,2.32,1.5,-3.0,158.5,64.0,42.0,12.0,12.0,200.0,31.0,6.0,33.0,28.0,22.0,73.0,28.0,14.0,14.0,200.0,26.0,5.0,21.0,21.0,32.0,83.9,83.9,83.9,83.9,101,78,78,101,0,,,2018,1491.4292623481676,1500.0,2.0,0.0,0.0,2,1733.950439273397,2.0,1.1559669595155981,94.9424395291683,95.97723451041264,0.4305555555555556,0.11847184107582087,0.19578853046594985,0.2777777777777778,85.9,95.17762020672382,95.7420538328571,0.4330018939393939,0.11837955495163516,0.1912878787878788,0.2821969696969697,85.9,7.0,0.0,0.0,1,737.9145310754941,1.0,0.7379145310754941,95.30241135603538,96.00826599988953,0.4462920069878103,0.11516046569116568,0.21360139564253824,0.21972117794486212,81.03,95.30241135603538,96.00826599988953,0.4462920069878103,0.11516046569116568,0.21360139564253824,0.21972117794486212,81.03,-1.034794981244346,-0.7058546438541526,-0.5644336261332796,-0.7058546438541526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5903307888040712,0.5903307888040712,0.0,-0.32894033739019335,-0.015736451432254717,0.003311375384655188,-0.017812865176588394,0.05805659983291567,0.141421017720873,-0.013290113048416374,0.0032190892604694737,-0.022313516854659432,0.0624757917521076,-5.0,0.0,0.0,996.0359081979029,0.41805242844010404,0.5,87.00596250000001,79.5046414550526,79.38814325899732,158.89278471404992,,,1.8938814905910921,1,23
8,2018-05-20,Washington Mystics,Indiana Fever,82,75,Cheryl Flores,Kelly Dawson,Roy Gulbeyan,2.09,1.75,1.5,1.5,164.5,67.0,16.0,5.0,10.0,200.0,28.0,11.0,15.0,22.0,17.0,62.0,25.0,10.0,16.0,200.0,27.0,5.0,16.0,29.0,17.0,79.02000000000001,79.02000000000001,79.02000000000001,79.02000000000001,82,75,75,82,0,,,2018,1500.0,1488.5707376518324,7.0,0.0,0.0,1,0.0,0.0,0.0,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,95.65533867796246,95.65533867796246,0.4479447316207185,0.11516046569116568,0.21439241202346043,0.21972117794486212,81.03,1.0,1.0,0.0,2,490.8262282884686,0.0,0.9908262282884686,93.7236257390789,97.2959477245218,0.42849526414077216,0.11411740463202362,0.18702906792149204,0.2628654970760234,84.81777777777779,94.29784879788562,96.67631583661516,0.43089642064747913,0.11600440780047303,0.1860913951023012,0.2740629984051037,85.30969696969697,0.0,-3.5723219854428976,0.0,-2.3784670387295392,35.0,20.7,110.31,29.67,3.827,1.161,18.1,6.45,2.0,1.0,0.0,0.0,179.0,54.0,1.0,0.4557291666666667,0.4557291666666667,0.0,3.5723219854428976,0.01944946747994636,0.0010430610591420642,0.02736334410196839,-0.04314431913116129,2.3784670387295392,0.01704831097323939,-0.0008439421093073413,0.028301016921159244,-0.05434182046024155,6.0,14.3,0.0,-490.8262282884686,-0.9908262282884686,0.5,86.40805931818183,79.90676647704835,77.94087019115436,157.8476366682027,16.0,3.314814200960333,0.9908262282884686,1,7
9,2018-05-22,Washington Mystics,Las Vegas Aces,75,70,Eric Brewton,Fatou Cissoko-Stephens,Jenna Reneau,1.43,2.84,-5.0,-5.5,160.5,67.0,13.0,7.0,21.0,200.0,28.0,8.0,11.0,30.0,22.0,72.0,22.0,8.0,17.0,200.0,28.0,1.0,13.0,28.0,14.0,88.7,88.7,88.7,88.7,75,70,70,75,0,,,2018,1508.250120109954,1491.4292623481676,2.0,0.0,0.0,2,0.0,0.0,0.0,96.55710073210824,95.57282108419915,0.4537286503295276,0.11558607580184636,0.2069109021907884,0.2201833356193136,80.80666666666667,96.1472088893147,95.61032908136428,0.45109959637097796,0.11539261666062786,0.2103115884783666,0.21997326394910838,80.90818181818182,2.0,0.0,0.0,2,2639.0041172701262,3.0,1.0906999622894404,92.65023086760392,98.19435806550327,0.4260655635196534,0.12394821330883553,0.22037040498633936,0.24105934771569443,81.89555555555557,93.7790724307468,97.27737487636843,0.4349002460613047,0.11995378257353105,0.21712168592205547,0.2313601796380434,81.50212121212121,0.9842796479090907,-5.544127197899343,0.5368798079504131,-3.4983024456216327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6651053864168619,0.6651053864168619,0.0,6.5284068458084334,0.02766308680987417,-0.008362137506989165,-0.01345950279555097,-0.02087601209638082,4.035182253572046,0.016199350309673288,-0.0045611659129031895,-0.006810097443688878,-0.011386915688935018,0.0,0.0,0.0,-2639.0041172701262,-1.0906999622894404,0.5,82.42735551997245,77.09387767513218,73.90641096020077,151.00028863533294,,,1.0906999622894404,1,5
10,2018-05-22,Indiana Fever,Los Angeles Sparks,70,87,Tiffany Bird,Maj Forsberg,Kurt Walker,1.8,2.03,1.5,-1.0,164.0,62.0,16.0,5.0,15.0,200.0,24.0,6.0,16.0,27.0,17.0,67.0,15.0,5.0,10.0,200.0,34.0,6.0,13.0,29.0,21.0,78.82,78.82,78.82,78.82,70,87,87,70,0,,,2018,1480.3206175418784,1511.4292623481676,2.0,0.0,1.0,3,981.6524565769372,0.0,0.6544349710512914,94.29346000998484,97.80986277458345,0.43708262591963776,0.12349710124157401,0.205751640832286,0.26217964265502464,83.9895238095238,94.68872909266611,96.88580419899395,0.4359980101797415,0.12067948832734349,0.1969425902010546,0.27107129828035825,84.7429279811098,2.0,0.0,0.0,2,2032.0861050969952,3.0,1.0177958814696408,94.88193523361213,95.71760637932947,0.4429751737485453,0.11122337522332926,0.20341942946697028,0.2199990717534577,81.22000000000001,95.01221495889179,95.91057017358769,0.4441978902746022,0.11301296179961853,0.2079112221881571,0.21987275638591425,81.13363636363637,-3.5164027645986096,-0.8356711457173418,-2.197075106327844,-0.8983552146958971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5300261096605744,0.5300261096605744,0.0,-2.6807316188812678,-0.005892547828907524,0.012273726018244752,0.002332211365315723,0.04218057090156693,-1.2987198916319471,-0.008199880094860723,0.007666526527724954,-0.010968631987102517,0.051198541894444005,0.0,0.0,0.0,-1050.433648520058,-0.3633609104183494,0.5,85.94377379011486,78.05112729221442,79.11412164420912,157.16524893642355,,,1.6722308525209324,0,-17
